O	@EduardoJH9 : Hola Eduardo , me podrias decir x DM lo q dijo dougli ? Mi cel es digitel y no tenia conexión ! Gracias y disculpa la molestia ! : *
O	RT @concafe : Nuevo :: Digitel restaura sistemas en un 50% : http://t.co/CSjBpsRXzf
N	#Chiiiaamo me acabo de dar cuenta que digitel no quiere ayudar a la gente con cancer las tarjetas dicen ( RECARGA Y DESTRUYE ESTA TARJETA ) :(
O	Esta es el spedtest que le acabo de hacet a mi conexion de digitel http://t.co/OHaVXLqeNa
N	VAINAS que ODIO el mensaje de digitel informando la fecha de pago
P	#Tecnologia Digitel restaura sistemas en un 50% : ¡Café 412 ! El operador Digitel , tras un arduo esfuerzo , ha p ... http://t.co/dm8KLHODZ2
O	@fmonroy en la av fuerzas armadas caracas cuando abres el explorer te da un mensaje de la pag de digitel
N	@fmonroy no solo movistar digitel el BAN de internet no funciona desde esta mañana
P	RT @WilmerSolano : #Digitel logra recaudar cerca de 10 Millones de Bolívares para @FeyAlegriaVE http://t.co/9lsxKOId3L #RSE #RSC #CSR
N	RT @Anaisolina : @NicolasMaduro en las oficinas digitel en valencia no le permiten comprar linea de celular ni equipo a los medicos cubanos
P	@BastardoQuotes Tienes chance de cambiarte a Digitel .
O	RT @TierradeGracia : Números de Emergencia :
O	Sistema Integral de Emergencia : 171
O	Movistar : * 1
O	Movilnet : * 911
O	0800-TEMBLOR ( 8362567 )
O	Digitel : *112
O	Mera yo no sabía que digitel tenia H+
N	Dime ... Mala señal #Digitel http://t.co/PxOVeXq8OW
O	a todos mis contactos , les recuerdo q por el incendio de la repetidora de digitel , en el Avila , no me estan ... http://t.co/eBmcRpYaeO
N	@edmundoruf Hola amigo ! Quisiera saber porque Digitel no termina de sacar a la venta los iPhone 5 ? Gracias
N	@MariaElePerez cambiese a Movinet q es del Estado y mandepalaverga a Digitel
N	RT @MariaElePerez : La verdad es que DIGITEL cada día más malo , mal recepción , no tengo para navegar hoy !!!
O	cargo mi numero digitel .. pilas a mis contactos de pin , no cargo el bb ...
O	@nasi1991 no recibes un iphone 4S de 32Gb digitel en impecables condiciones por uno de los S3 ?
P	Si tuviera los ovarios para decirte que me encantas y ... — Aaajajaja cooño ten los ovarios y dilo todo con digitel . http://t.co/CZKZOdd7sQ
P	RT @MeFumounCigarro : Me regalo 2 tarjetas Digitel , no es interes es bella : $
N	@LaHojillaenTV @durancandanga Hay que estar pendiente , ya q digitel tambien esta en esto ... o alguien quiere ponernos a pelear ..
N	RT @Ojitosscafe : Últimamente la señal de Digitel ha estado de un asco mi pana .
O	@cami6424 me qede sin pila flaca estoy dsd el digitel
O	RT @joraca : @joraca vendo iPhone 5 16 Gb negro unlocked por Apple Canadá , probado con Tmobile prepago , Movistar postpago y Digitel prepago , 04123504969
N	@DigiExperto @alejoarriaga horrible señal digitel en varios ptos de sta monica y chaguaramos . no es por el incendio , tiene meses asi !!!
N	Donde queda Cantv ?" @JLCova : El BAM de DIGITEL es de lo Peor !!!"
O	@MovistarVe @MovistarVe : yo
O	tengo línea ( Post pago ) desde + de 18 años , y tuve q obtener un iPhone 5 de digitel ..., no hubo manera ...
N	@la_iguanatv @maperezpirela tambien sabotean la telefonia y el internet movil digitel y movistar . No quiero imaginar el 14A .
N	RT @theopg : ¿Qué excusa tiene hoy Digitel para explicar su señal ? ¿Qué unos marcianos hicieron pupu en las antenas ?
O	Ando solo con mi digitel !!
O	@iPhoneIMEI hola , libera i5 digitel Venezuela ? saludos ...
