O	@PichiPichii Buenas tardes , te invitamos a verificar la inf . Correspondiente ingresando en http://t.co/XO7IJn4LC7
O	@VJValdez Hola , puedes consultar la información del SuperConcurso X de Movistar ingresando a http://t.co/YMvTFQWFhN ¡Saludos !
N	RT @DaiibeMontoya : Maldito seas Movistar tienes la señal mas mala de este puto mundo .
O	RT @codigoabierto : La información que tenemos hasta ahora de la #fallamovistar http://
N	@AyudaMovistarVe hola , tengo problemas para ingresar a MI Movistar , le di la opción de Olvidé mi Clave y aún no me envía el mensaje al email
N	El 3G de Movistar está hecho un asco hoy ! Q está pasando ? @AyudaMovistarVe @MovistarVe
O	@LuiyysVentura Hola , desde http://t.co/kHzK88DmBq accede al link " Olvidaste tu Clave " y sigue las instrucciones en pantalla . Saludos .
O	@Marle236 Puedes consultar nuestro inventario actualizado accediendo a http://t.co/IgllvODcLn Saludos .
N	Estoy convencido que el chamo que me activo la linea movistar el año pasado me odiaba
O	RT @fmonroy : Aunque ya en algunas sitios se solventó , aquí está la información recogida por @codigoabierto sobre la #fallamovistar http://t.co/uPWbHYEoQy
N	@AyudaMovistarVe tengo meses tratando de registrarme al club movistar y no me lo permite la pagina
N	@fmonroy no solo movistar digitel el BAN de internet no funciona desde esta mañana
O	@MayaRavenheart Hola , puedes adquirir el servicio de Tv Movistar en nuestros Agentes Autorizados y Centros de Servicio .
N	Movistar me tuvo toooda la mańana castigada :(
P	Resucito Movistar ! Gloria gloria gloria amén
N	Problemas de red con Movistar en pto . La cruz internet caído por horas #movistar
P	@AnthonyJavier AY ! dios y q t hizo movistar ? En realidad ami me parece q es una de las mejores empresas de telefonía que hay en Venezuela .
N	@Movistar_VE @AyudaMovistarVe Falla con data en la zona de Caurimare durante toda la mañana #Fail
N	RT @Amarilysag : QUE SUCEDE HOY CON MOVISTAR ??? NO FUNCIONA DATOS , RARA VEZ MENSAJE DE TEXTO Y CON SUERTE CAEN LAS LLAMADAS ....
N	Hay q ver q Movistar es medio peorro no ?
N	@AyudaMovistarVe @Presid_movistar @MovistarVe mi esposo y yo no podemos navegar ni usar los servicios de datos . Tenemos galaxy note ambos
O	¿Tienes inconvenientes con tu #RoamingMovistar ? Conoce cómo solucionarlo con nuestro Asistente de Ayuda : http://t.co/2JkKhFf0oA
N	@BastardoQuotes Me paso al revés , movistar es un peo con la señal .
N	Y que mi telefono siga sonando nada mas por mensajes de movistar : c
N	@AyudaMovistarVe @Redes_Movistar amigos que sucede con el 3G no me puedo conectar desde esta mañana en varias zonas de Caracas , ya reinicie
O	* 144# RT @BastardoQuotes : ¿Cómo es que es el número para consultar saldo en Movistar ?
P	\○/ wohoooooooo !!!!!! RT @Daniel0te : ¡Se arregló el potismo de movistar !
N	@Gerard_Saga Aun espero por Movistar que me de mi iPhone nuevo :(
P	@MovistarVe Yoo Tengo Movistar desde el 2002 Hasta Ahora y Cumplire 1año Mas Con Movistar El 5deJulio .. Excelente Operadora ☺ !
O	RT @TierradeGracia : Números de Emergencia :
O	Sistema Integral de Emergencia : 171
O	Movistar : * 1
O	Movilnet : * 911
O	0800-TEMBLOR ( 8362567 )
O	Digitel : *112
N	La señal de datos está pésima . El problema eres tu Movistar !
N	“ @Yohanamarra : Hay problemas con Internet de Cantv ? Tampoco tengo señal de Movistar o . O” denuncialo a @operador811
N	Creo hay problemas con la red de datos de Movistar @codigoabierto pudieran confirmar esto
N	Alguien sabe qué le pasa a movistar que no me funciona twitter , whatsapp ni ninguna aplicación que use internet ? :' (
O	@JackAnimacion consulta los horarios de atención de nuestros Centros de servicio a través de : http://t.co/GYWjbgvttu
O	@VittoriaReale intenta nuevamente y nos comentas http://t.co/GYWjbgvttu
P	@Yo_Cayito o.o a mi movistar me funciona perfectamente xD
O	@Elyttee Sii eso hare ya ahorita dentro de un rato q llegue elio jeje y después buscarlo en una agencia Movistar
O	que le paso a Movistar que puso los SMS gratis hasta las 6 pm ??
N	Alguien mas tiene problemas con Movistar hoy ?
O	@jrafael26 te invitamos a consultar otras alternativas de recarga en : http://t.co/Hnrx8E4KUp
O	@VCDelgado es este http://t.co/mHCm0Ml7Sl
N	#movistar esta caido o son cosas mias
O	Somos @asteriscogruas un Servicio de Grúas 24 horas , marca * GRUAS (* 47827 ) desde tu Movistar o llama al 04143330202 - 04142886898
O	@Darsyis cuando dices movistar hogar te refieres a un teléfono fijo ?
O	@omarmdesigner actualmente no disponemos de sistemas de recargas para megas , consulta el siguiente enlace : http://t.co/J1tMy6xtN6
P	Benditos sean los audífonos que me regaló Movistar . Jizz .
N	Tengo señal para twitear pero no para chatear ni stalkear gente , que inservible eres Movistar .
P	A movistar ya le dejo de picar su antenita y tiene 3G * . *
O	RT @EmporioGroup : Movistar música y Samsung te traen la gira de Camila con Noel Schajris como invitado especial . Valencia 21/7 , Maracaibo 22/7 y Caracas 23/7
O	@LaHojillaenTV La televisiôn de movistar debe incluir en su parrilla en canal avila tv , ayudanos con eso Mario .
N	@durancandanga El año pasado movistar internet , quitó el acceso a los usuarios a Cantv , CNE y VTV . entre el 7 y el 11 de octubre .
N	@LaHojillaenTV Mario Renta Pagada de Movistar Tv y sin seÑal dos dias tambien debe ser incluida en las cableras que sabotean
O	@Johan_verburg --- »RT @JoseSimons : ¿Alguien aquí trabaja en Movistar para que me echen una ayudaíta ?
O	Alguien sabe si movistar aun promociona iPhones ?
O	RT @joraca : @joraca vendo iPhone 5 16 Gb negro unlocked por Apple Canadá , probado con Tmobile prepago , Movistar postpago y Digitel prepago , 04123504969
P	Quedense bien lejos de caracas njd .! La red Movistar anda super ...!
P	@nori_princess @borrell_t @movistarve @marisenuez equipo ? El q quieras y a movistar 100pre
N	Más fingido que un comercial de Movistar .
N	@MovistarVe como vago para entrar a mi movistar me dice que la cuenta esta anulada y yo no he anulado nada .. Ayuda !
P	@MovistarVe ¡No cambio Movistar por nada ! Aunque una vez tuve mi rabieta ; pero ¿que familia es perfecta ? jejejeje
O	@Genesis_3G ahora cuéntame , Movistar en tus 8 años te ha regalado algo x fidelidad ?
O	@NosoyGabz Buenas noches , ingresa https://t.co/L0EU1HuhVt valida el detalle de los cupos disponibles y nos comentas
N	@la_iguanatv @maperezpirela tambien sabotean la telefonia y el internet movil digitel y movistar . No quiero imaginar el 14A .
N	Segun la propaganda de movistar todo lo puedes hacer por internet , entonces que hacen los maricones esos que atienden a la gente ?
O	No han pillado las propagandas de Movistar ? Ahora cualquier requerimiento lo puede hacer uno mismo .. Entonces , ¿que hacen los operadores ?
P	“ @andy_no : Que orgullo ver la propaganda de Movistar con mi bellísima prima : @Judnoguera !! ” Graciasss prima ! Tq !!
N	@AyudaMovistarVe Buenas amigos saludos , tengo problema para entrar a mi movistar como hago
O	@mabeudy Lo has intentado por el * 144# o mi movistar
O	@el_rafus Puedes consultar información en http://t.co/Jo7JCcoFC6
N	@ArrobaEdwin Otros Usuarios Movistar a tu alrededor ( familiares , amigos ) presentan los mismos inconvenientes ?
O	@josebenitez87 El plan en contacto con todos 600 no esta disponible ingresa en http://t.co/RCB9M6Zxt6 y verifica
O	RT @rescate171 : Emergencias a nivel nacional : 171 cantv / 911 movistar / * 1 movilnet / 112 digitel
O	@jvba17 Ingresa en http://t.co/S6oOBtbyzV y escribenos
N	RT @juanfl2 : Que ladilla con Movistar .. mandan mensajes cada 1 hora !!
O	RT @TierradeGracia : EMERGENCIA MOVISTAR : 911
O	EMERGENCIA MOVILNET : * 1
O	EMERGENCIA DIGITEL : 112
O	INFORMACION CANTV : 113
